Owner,Repo,Author,State,IssueId,CommentCount,LastUpdated,CreatedAt,ClosedAt,Type
willmcgugan,rich,fatemonk,closed,854,0,1608903039000,1608891657000,1608903039000,ISSUE
willmcgugan,rich,fatemonk,closed,854,0,1608903039000,1608891657000,1608903039000,ISSUE
willmcgugan,rich,PyGamer0,closed,851,2,1608890989000,1608791335000,1608890988000,ISSUE
willmcgugan,rich,jack1142,open,850,4,1608830297000,1608685567000,,ISSUE
willmcgugan,rich,jack1142,open,849,4,1608825556000,1608676762000,,ISSUE
willmcgugan,rich,codemicro,closed,845,2,1608649522000,1608643174000,1608649522000,ISSUE
willmcgugan,rich,dukea42,open,844,1,1608583086000,1608581792000,,ISSUE
willmcgugan,rich,HarshCasper,closed,842,0,1608532435000,1608532243000,1608532425000,PR
willmcgugan,rich,ssbarnea,closed,841,1,1608463851000,1608463366000,1608463851000,ISSUE
willmcgugan,rich,Imipenem,closed,840,4,1608416543000,1608407517000,1608416543000,ISSUE
willmcgugan,rich,daVinci13,closed,838,1,1608401784000,1608392379000,1608401784000,ISSUE
willmcgugan,rich,iisaka51,closed,837,2,1608387060000,1608333312000,1608387060000,PR
willmcgugan,rich,AcidWeb,closed,836,3,1608415475000,1608315071000,1608316868000,ISSUE
willmcgugan,rich,willmcgugan,closed,835,1,1608307525000,1608307246000,1608307480000,PR
willmcgugan,rich,serhiy-storchaka,closed,832,2,1608316497000,1608231942000,1608307844000,ISSUE
willmcgugan,rich,willmcgugan,closed,831,1,1608305635000,1608225781000,1608305632000,PR
willmcgugan,rich,Mr-Milk,open,830,2,1608306756000,1608207349000,,ISSUE
willmcgugan,rich,tuukkamustonen,closed,829,6,1608327797000,1608204258000,1608327797000,ISSUE
willmcgugan,rich,serhiy-storchaka,closed,828,1,1608307865000,1608201860000,1608307865000,ISSUE
willmcgugan,rich,serhiy-storchaka,closed,827,1,1608307930000,1608200903000,1608307930000,ISSUE
willmcgugan,rich,bphunter1972,open,826,1,1608225668000,1608160540000,,ISSUE
willmcgugan,rich,M4cs,closed,825,2,1608173686000,1608151850000,1608173686000,ISSUE
willmcgugan,rich,hamelsmu,closed,824,2,1608154424000,1608151011000,1608154424000,PR
willmcgugan,rich,Szymin02034,closed,823,0,1608137272000,1608137217000,1608137272000,ISSUE
willmcgugan,rich,Sassybabydoll1969,closed,639,0,1608109142000,1608109020000,1608109142000,ISSUE
willmcgugan,rich,rcx,closed,509,1,1608109646000,1608096365000,1608109646000,ISSUE
willmcgugan,rich,oleksis,closed,508,2,1608160005000,1608090374000,1608160005000,PR
willmcgugan,rich,phamquiluan,closed,507,1,1608225700000,1608089334000,1608225700000,ISSUE
willmcgugan,rich,qml2n,closed,506,0,1608106331000,1608084931000,1608106331000,ISSUE
willmcgugan,rich,Tzeusy,closed,505,1,1608109862000,1608081969000,1608109862000,ISSUE
willmcgugan,rich,Tzeusy,closed,504,1,1608225685000,1608081547000,1608225685000,ISSUE
willmcgugan,rich,Benjaminelpro7737,closed,503,1,1608129945000,1608076509000,1608109881000,ISSUE
willmcgugan,rich,robinwhittleton,closed,502,3,1608191719000,1608069828000,1608111018000,ISSUE
willmcgugan,rich,acabal,closed,501,6,1608071278000,1608051562000,1608071278000,ISSUE
willmcgugan,rich,donno2048,open,500,1,1608040113000,1608039941000,,PR
willmcgugan,rich,donno2048,closed,499,2,1608039990000,1608035010000,1608038286000,ISSUE
willmcgugan,rich,piyush-das,closed,498,1,1608033200000,1608031843000,1608033200000,ISSUE
willmcgugan,rich,tgdn,closed,497,6,1608111567000,1608030175000,1608111567000,ISSUE
willmcgugan,rich,kia152,closed,496,0,1608033210000,1608029348000,1608033210000,ISSUE
willmcgugan,rich,davised,closed,495,2,1608033243000,1608021033000,1608033242000,PR
willmcgugan,rich,Franklin-oss,closed,494,1,1608021154000,1608021018000,1608021154000,ISSUE
willmcgugan,rich,davised,closed,493,2,1608035136000,1607989262000,1608035136000,ISSUE
willmcgugan,rich,kia152,closed,492,0,1608029279000,1607982412000,1608022859000,ISSUE
willmcgugan,rich,jihatlussy,closed,491,1,1607968979000,1607968770000,1607968979000,ISSUE
willmcgugan,rich,ThaGrimeyone,closed,490,2,1607961640000,1607961015000,1607961640000,ISSUE
willmcgugan,rich,ThaGrimeyone,closed,489,5,1607961629000,1607960675000,1607961629000,ISSUE
willmcgugan,rich,ThaGrimeyone,closed,488,0,1607959564000,1607958729000,1607959564000,ISSUE
willmcgugan,rich,nathanrpage97,closed,486,2,1607961671000,1607898890000,1607961671000,PR
willmcgugan,rich,jph00,closed,485,6,1608307892000,1607880149000,1608307892000,ISSUE
willmcgugan,rich,nicofirst1,closed,481,10,1607773234000,1607763798000,1607773052000,ISSUE
willmcgugan,rich,willmcgugan,closed,480,1,1607703234000,1607702980000,1607703199000,PR
willmcgugan,rich,willmcgugan,closed,479,1,1607621369000,1607620046000,1607621366000,PR
willmcgugan,rich,abloch,closed,478,2,1607696872000,1607555953000,1607696872000,PR
willmcgugan,rich,grolinet,closed,477,1,1607776248000,1607533012000,1607776247000,ISSUE
willmcgugan,rich,frozen47,closed,476,2,1607507586000,1607505940000,1607506030000,ISSUE
willmcgugan,rich,bartzy,closed,475,1,1607776261000,1607429906000,1607776260000,ISSUE
willmcgugan,rich,kdcloverkid,closed,474,1,1607411474000,1607376840000,1607411474000,ISSUE
willmcgugan,rich,DarrenIce,closed,472,5,1607331004000,1607312484000,1607331004000,ISSUE
willmcgugan,rich,amal-khailtash,open,471,1,1607989175000,1607300564000,,ISSUE
willmcgugan,rich,mc436572,closed,470,3,1607698027000,1607263623000,1607698027000,ISSUE
willmcgugan,rich,withshubh,closed,469,3,1607270952000,1607257679000,1607268447000,PR
willmcgugan,rich,beanaroo,closed,468,0,1607703199000,1607242858000,1607703199000,ISSUE
willmcgugan,rich,lagmoellertim,closed,467,4,1607222144000,1607170797000,1607222143000,ISSUE
willmcgugan,rich,blueset,closed,466,2,1607269221000,1607058342000,1607268503000,ISSUE
willmcgugan,rich,DarrenIce,closed,465,13,1607331033000,1607054213000,1607331033000,ISSUE
willmcgugan,rich,willmcgugan,closed,464,1,1607030749000,1607016059000,1607030711000,PR
willmcgugan,rich,heavelock,closed,461,3,1606991755000,1606924858000,1606991755000,PR
willmcgugan,rich,bartzy,closed,460,1,1607084722000,1606837361000,1607084722000,ISSUE
willmcgugan,rich,bartzy,closed,459,3,1606901878000,1606820810000,1606901878000,ISSUE
willmcgugan,rich,bradh11,closed,458,9,1606765738000,1606753137000,1606765738000,ISSUE
willmcgugan,rich,mheden,closed,457,5,1607776310000,1606740663000,1607776310000,ISSUE
willmcgugan,rich,GTxx,closed,456,2,1606752551000,1606727103000,1606752551000,PR
willmcgugan,rich,nneonneo,closed,455,2,1607700225000,1606688743000,1607700225000,PR
willmcgugan,rich,hhoeflin,closed,454,2,1606654834000,1606651792000,1606654834000,ISSUE
willmcgugan,rich,bandoos,closed,453,3,1607022550000,1606610372000,1606610654000,ISSUE
willmcgugan,rich,willmcgugan,closed,452,1,1606842655000,1606584671000,1606842627000,PR
willmcgugan,rich,sondrelg,closed,451,2,1607017276000,1606571946000,1606948329000,PR
willmcgugan,rich,hhoeflin,closed,450,2,1606842627000,1606549826000,1606842627000,ISSUE
willmcgugan,rich,Mr-Milk,closed,449,7,1607776377000,1606530966000,1607776377000,ISSUE
willmcgugan,rich,willmcgugan,closed,448,1,1606507880000,1606507510000,1606507876000,PR
willmcgugan,rich,dongkwan-kim,closed,447,2,1606398565000,1606397562000,1606397756000,PR
willmcgugan,rich,ssbarnea,closed,446,1,1606674482000,1606396544000,1606674482000,ISSUE
willmcgugan,rich,willmcgugan,closed,445,0,1606507876000,1606395576000,1606507876000,ISSUE
